ds,yhat,yhat_lower,yhat_upper,year,country_name,metric,is_forecast,actual,country_code,tariff_current_feb2026,tariff_peak,yhat_tariff_adjusted,tariff_drag_amount
2015-01-01,2166585120318.1182,1899593073169.7854,2415052047689.8003,2015,China,exports,False,2362097053274.6,,,,2166585120318.1182,0.0
2016-01-01,2323906184618.214,2079862054846.612,2586299111074.883,2016,China,exports,False,2199974853570.14,,,,2323906184618.214,0.0
2017-01-01,2481658257300.6265,2228426431150.081,2732994530922.8726,2017,China,exports,False,2424216052098.35,,,,2481658257300.6265,0.0
2018-01-01,2639049432970.319,2385752462728.5195,2897793786207.1714,2018,China,exports,False,2655609176087.45,,,,2639049432970.319,0.0
2019-01-01,2796632397186.557,2531408609695.2534,3041667050084.146,2019,China,exports,False,2628941104657.6,,,,2796632397186.557,0.0
2020-01-01,3004758817151.3965,2759506166515.9116,3256340731531.002,2020,China,exports,False,2729884575163.89,,,,3004758817151.3965,0.0
2021-01-01,3213543254693.0107,2977945263738.341,3467600478524.4404,2021,China,exports,False,3554107780957.44,,,,3213543254693.0107,0.0
2022-01-01,3421757113926.9463,3149864102173.4326,3681075336373.81,2022,China,exports,False,3717887818646.97,,,,3421757113926.9463,0.0
2023-01-01,3629830098179.6445,3364358477564.502,3881593287597.0405,2023,China,exports,False,3490089712362.99,,,,3629830098179.6445,0.0
2024-01-01,3837903082432.3433,3594131332616.7915,4103159968050.8936,2024,China,exports,False,3753056083349.04,,,,3837903082432.3433,0.0
2024-12-31,4045976066685.0425,3804601325444.889,4308069517550.8975,2024,China,exports,False,3753056083349.04,,,,4045976066685.0425,0.0
2025-12-31,4254049050937.7417,4006930479365.4194,4523670182705.642,2025,China,exports,True,,,,,4126427579409.6094,127621471528.13232
2026-12-31,4462122035190.44,4218479453646.9365,4713768749162.82,2026,China,exports,True,,,,,4328258374134.727,133863661055.71338
2015-01-01,171038541811.23395,156003031246.43936,185684805883.2497,2015,Viet Nam,exports,False,174473996313.379,,,,171038541811.23395,0.0
2016-01-01,198924743487.0384,184577386497.96915,212025283385.93967,2016,Viet Nam,exports,False,190526869544.715,,,,198924743487.0384,0.0
2017-01-01,226887345752.1151,211670230652.75458,241812066134.09818,2017,Viet Nam,exports,False,230041803530.193,,,,226887345752.1151,0.0
2018-01-01,254773547434.22845,240241413680.11072,268585342511.44366,2018,Viet Nam,exports,False,261802606599.096,,,,254773547434.22845,0.0
2019-01-01,282659748938.6052,267308953957.59775,296286665942.04584,2019,Viet Nam,exports,False,284737397482.992,,,,282659748938.6052,0.0
2020-01-01,310545950431.9389,296638741332.5124,325873278384.2038,2020,Viet Nam,exports,False,292479899128.741,,,,310545950431.9389,0.0
2021-01-01,338779343317.5407,324714479625.6198,353518578687.01526,2021,Viet Nam,exports,False,343937314545.796,,,,338779343317.5407,0.0
2022-01-01,366935595779.5309,352530768034.7735,382774277010.93976,2022,Viet Nam,exports,False,386241068014.827,,,,366935595779.5309,0.0
2023-01-01,395086459182.1796,381062506823.7311,409471974844.26917,2023,Viet Nam,exports,False,375145540249.857,,,,395086459182.1796,0.0
2024-01-01,423237322584.8283,408782000328.1993,437400481556.23505,2024,Viet Nam,exports,False,429484098196.194,,,,423237322584.8283,0.0
2024-12-31,451388185987.47705,436516155365.861,465899034071.34515,2024,Viet Nam,exports,False,429484098196.194,,,,451388185987.47705,0.0
2025-12-31,479539049390.12585,465609734772.4915,495116034514.1541,2025,Viet Nam,exports,True,,,,,465152877908.42206,14386171481.703796
2026-12-31,507689912792.77454,492892542357.19684,522567531444.5644,2026,Viet Nam,exports,True,,,,,492459215408.9913,15230697383.783264
2015-01-01,415264721572.0434,406828818456.0034,423902129075.8695,2015,India,exports,False,416787940847.812,,,,415264721572.0434,0.0
2016-01-01,444212256158.64966,435737372444.94727,452768756600.29346,2016,India,exports,False,439642578076.358,,,,444212256158.64966,0.0
2017-01-01,495211305747.5172,487763729764.89954,504009275747.4542,2017,India,exports,False,498258808231.521,,,,495211305747.5172,0.0
2018-01-01,538635154117.41614,530513405700.36523,547122352155.54004,2018,India,exports,False,538635186135.438,,,,538635154117.41614,0.0
2019-01-01,526189285909.8372,517954483334.6009,534300239075.02594,2019,India,exports,False,529245063167.215,,,,526189285909.8372,0.0
2020-01-01,505831878118.64795,497501303050.8941,513532249599.1219,2020,India,exports,False,499728529072.629,,,,505831878118.64795,0.0
2021-01-01,674721748742.8931,666067012684.7908,683309619248.0697,2021,India,exports,False,677769255428.552,,,,674721748742.8931,0.0
2022-01-01,769822625235.7181,761349049085.7437,777858564022.97,2022,India,exports,False,778021514754.531,,,,769822625235.7181,0.0
2023-01-01,795278434725.6704,786861681867.9133,803995709256.7443,2023,India,exports,False,780408530088.596,,,,795278434725.6704,0.0
2024-01-01,820734244215.6226,811864592931.0063,828302367997.5363,2024,India,exports,False,827405227198.603,,,,820734244215.6226,0.0
2024-12-31,846190053705.5748,803770125952.5535,885891407498.2344,2024,India,exports,False,827405227198.603,,,,846190053705.5748,0.0
2025-12-31,871645863195.527,732384419012.393,990296959886.7645,2025,India,exports,True,,,,,845496487299.6611,26149375895.865845
2026-12-31,897101672685.4792,620444181292.2144,1106305170535.6843,2026,India,exports,True,,,,,870188622504.9148,26913050180.564453
2015-01-01,411072603519.24133,379160976256.26587,444067545821.65405,2015,Mexico,exports,False,414495031033.993,,,,411072603519.24133,0.0
2016-01-01,428042569684.9801,394622573516.8774,460055930543.01166,2016,Mexico,exports,False,409476294705.042,,,,428042569684.9801,0.0
2017-01-01,445059029173.2661,411038819439.37036,477089439881.2119,2017,Mexico,exports,False,446688309687.408,,,,445059029173.2661,0.0
2018-01-01,462028994949.4462,427940629012.3552,492662453690.4579,2018,Mexico,exports,False,490508969545.438,,,,462028994949.4462,0.0
2019-01-01,478957707653.61816,447836458475.04034,510330735890.4417,2019,Mexico,exports,False,502467566320.434,,,,478957707653.61816,0.0
2020-01-01,495886419997.15,462302997911.5559,530205487137.0793,2020,Mexico,exports,False,439853932827.966,,,,495886419997.15,0.0
2021-01-01,545246659087.2153,512246835240.74005,576695541790.6407,2021,Mexico,exports,False,534121610565.454,,,,545246659087.2153,0.0
2022-01-01,594472034604.834,561726800495.8052,627969800009.7506,2022,Mexico,exports,False,629788673074.2,,,,594472034604.834,0.0
2023-01-01,643691464231.9626,612681738984.0455,676479107198.3934,2023,Mexico,exports,False,648642274776.945,,,,643691464231.9626,0.0
2024-01-01,692910893859.0913,663062175924.4258,725513692073.8141,2024,Mexico,exports,False,681348718684.406,,,,692910893859.0913,0.0
2024-12-31,742130323486.22,709585813033.7675,773063526172.0939,2024,Mexico,exports,False,681348718684.406,,,,742130323486.22,0.0
2025-12-31,791349753113.3488,758325381641.0707,825689336371.022,2025,Mexico,exports,True,,,,,767609260519.9482,23740492593.400513
2026-12-31,840569182740.4774,801767848821.2554,880067451620.9761,2026,Mexico,exports,True,,,,,815352107258.2631,25217075482.214355
